Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7600589,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,"Levitt, Steven D.",,"=""""","=""""",3,4.00,HarperCollins e-books,ebook,288,2009,2009,,2011/12/28,,,read,,,,1,0
414001,Competing on Analytics,Thomas H. Davenport,"Davenport, Thomas H.",,"=""1422103323""","=""9781422103326""",4,3.69,Harvard,Hardcover,218,2007,2007,,2011/12/28,,,read,,,,1,0
95833,M. Butterfly,David Henry Hwang,"Hwang, David Henry",,"=""0822207125""","=""9780822207122""",3,3.93,"Dramatists Play Service, Inc.",Paperback,72,1998,1988,,2011/12/28,,,read,,,,1,0
6295,Howl and Other Poems,Allen Ginsberg,"Ginsberg, Allen",William Carlos Williams,"=""0872863107""","=""9780872863101""",3,4.13,City Lights,Hardcover,56,2001,1956,,2011/12/28,,,read,,,,1,0
7518289,The Facebook Effect: The Inside Story of the Company That is Connecting the World,David   Kirkpatrick,"Kirkpatrick, David",,"=""1439102112""","=""9781439102114""",5,3.86,Simon & Schuster,Hardcover,384,2010,2010,,2011/12/28,,,read,,,,1,0
676737,Grendel,John Gardner,"Gardner, John",,"=""0679723110""","=""9780679723110""",4,3.69,Random House Vintage Books,Paperback,174,2010,1971,,2011/12/28,,,read,,,,1,0
99713,A Coney Island of the Mind,Lawrence Ferlinghetti,"Ferlinghetti, Lawrence",,"=""0811200418""","=""9780811200417""",4,4.16,New Directions,Paperback,93,1958,1958,,2011/12/28,,,read,,,,1,0
10956,The Virgin Suicides,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0747560595""","=""9780747560593""",3,3.78,Bloomsbury Paperbacks,Paperback,250,2002,1993,,2011/12/28,,,read,,,,1,0
9260507,5 Very Good Reasons to Punch a Dolphin in the Mouth and Other Useful Guides,Matthew Inman,"Inman, Matthew",,"=""1449401163""","=""9781449401160""",4,4.04,FisicalBook,Paperback,160,2011,2010,,2011/12/28,,,read,,,,1,0
4957350,Tinkers,Paul Harding,"Harding, Paul",,"=""1934137197""","=""9781934137192""",3,3.41,Bellevue Literary Press,Hardcover,192,2009,2009,,2011/12/28,,,read,,,,1,0
